levels_id,company_name
918,Senior Software engineering manager
919,SE 5
920,ASE5
921,UX Designer 3
922,AVP
923,29
924,Associate User Experience Director
925,ICB 7
926,t4
927,Principal Consultant
928,E8
929,Software Development Engineer (SDE) 3
930,Sr Device Development Engineer – I
931,Software Engineer - Mid
932,Principal Product Manager - L7
933,T2-3
934,Junior Developer
935,Senior engineer 1
936,TB7
937,G04
938,Placement
939,Staff UED
940,senior consulting analyst
941,UED
942,M0
943,IC 1
944,Software Developer in Test
945,p6
946,Grade 15
947,E12
948,X3
949,software Engineer
950,mts
951,P3: Senior Software Engineer
952,I8
953,Advance
954,Software developer
955,T3L2
956,Level 2 - Developer
957,Senior Software Systems Developer
958,Senior Software Engineer (X4)
959,Senior Product Manager 2
960,DevOps Engineer 3
961,Senior Contractor
962,P3 (Senior Engineer)
963,22
964,Lead Engineer 1
965,L5B
966,Jr
967,Associate 602
968,Engineer 2
969,X4
970,APM 1
971,Product Designer I
972,Software engineer manager
973,T2L3
974,ICT6
975,NAPA
976,g3
977,Sr. Staff
978,Engineer III
979,Project Manager
980,Software Developer & Integrator II
981,Sr director
982,500e
983,EM3
984,5.5
985,Base
986,Software Engineer New grad
987,Senior UED
988,Senior P4
989,A3
990,IT Director
991,Senior Engineer 2
992,Ict5
993,32 (Lead)
994,32 (associate principal)
995,B9
996,CL2
997,Band 7A
998,PR4
999,Application Developer II
1000,e3
1001,Graduate Engineer
1002,Engineer L1
1003,E3.5
1004,IC Level 3
1005,G13
1006,L12
1007,PA3
1008,Senior Software Engineerse
1009,M26
1010,WD6
1011,SysDE1
1012,staff
1013,7a
1014,L8 Director Product Management
1015,Product manager 2
1016,57
1017,Senior Software Enginer
1018,Cloud Infrastructure Associate
1019,m10
1020,L4 (Principal)
1021,4L
1022,Sr Software Engineering Manager
1023,Apprentice
1024,grade 12
1025,V
1026,Developer I
1027,Software Developer 2
1028,D2
1029,Junior developer
1030,Associate Lead Software Engineer
1031,Eng 3
1032,Senior Software Eng Principal Associate
1033,IV
1034,PRF3
1035,p4
1036,MTS3
1037,Sr. Product Manager
1038,BB
1039,BBB
1040,||
1041,Principal UED
1042,Account Executive 3
1043,TechStart
1044,Software Developer 1
1045,ICB 2
1046,G06
1047,5A
1048,Grade6
1049,Lead Experience Designer
1050,Metadata Manager
1051,35
1052,Software dev Engineer 2
1053,Staff software engineer
1054,Software II
1055,Associate User Experience Designer (UED)
1056,2.3
1057,Software Engineer G6
1058,Grade 08
1059,ENG4
1060,Technical Architect
1061,MG03A
1062,grade 10
1063,Member technical staff
1064,Team leader
1065,X7
1066,Studio Senior
1067,Senior Software Engineering Manager
1068,J
1069,E4 (Rotational Engineer)
1070,Designer II
1071,Senior Staff engineer
1072,Middle
1073,TDP1 (NewGrad)
1074,9p
1075,Head Media Engineering
1076,Staff Engineer (SRE)
1077,Experience Design Lead
1078,54
1079,MGTS
1080,Authorized Officer
1081,T3 3
1082,pm 2
1083,Principal Member of Technical Staff
